"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TRENT","EQ","24-Jun-2024","5,266.35","5,266.35","5,440.00","5,200.00","5,434.15","5,395.75","5,338.77","5,43,826","2,90,33,61,753.40","57,740","2,66,865","49.07"
"TRENT","EQ","25-Jun-2024","5,395.75","5,440.50","5,459.00","5,304.05","5,330.00","5,338.80","5,362.07","5,59,045","2,99,76,37,495.40","69,492","2,68,965","48.11"
"TRENT","EQ","26-Jun-2024","5,338.80","5,345.00","5,395.00","5,260.00","5,352.80","5,363.80","5,353.66","5,78,724","3,09,82,94,358.25","71,844","3,47,573","60.06"
"TRENT","EQ","27-Jun-2024","5,363.80","5,360.00","5,387.00","5,303.75","5,340.00","5,329.00","5,328.72","9,00,729","4,79,97,33,989.65","78,549","6,34,865","70.48"
"TRENT","EQ","28-Jun-2024","5,329.00","5,360.00","5,509.00","5,358.55","5,475.00","5,479.85","5,454.88","9,70,080","5,29,16,70,384.80","92,533","4,29,071","44.23"
"TRENT","EQ","01-Jul-2024","5,479.85","5,500.00","5,555.00","5,380.00","5,508.00","5,515.65","5,483.03","5,44,030","2,98,29,33,777.95","67,719","2,02,638","37.25"
"TRENT","EQ","02-Jul-2024","5,515.65","5,515.00","5,568.55","5,460.00","5,542.00","5,535.90","5,522.50","4,28,098","2,36,41,70,535.80","55,538","2,05,082","47.91"
"TRENT","EQ","03-Jul-2024","5,535.90","5,560.00","5,577.75","5,460.05","5,504.00","5,494.10","5,504.13","3,55,297","1,95,56,00,430.70","37,090","1,70,931","48.11"
"TRENT","EQ","04-Jul-2024","5,494.10","5,548.00","5,620.00","5,493.75","5,590.00","5,597.45","5,568.71","4,40,575","2,45,34,35,203.10","50,357","1,89,447","43.00"
"TRENT","EQ","05-Jul-2024","5,597.45","5,560.00","5,644.45","5,535.00","5,621.00","5,619.90","5,609.93","3,62,427","2,03,31,91,595.90","45,542","1,61,371","44.53"
