"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BSE","EQ","24-Jun-2024","2,560.20","2,550.00","2,550.00","2,492.00","2,510.00","2,497.95","2,506.19","9,63,273","2,41,41,44,499.90","94,328","6,39,491","66.39"
"BSE","EQ","25-Jun-2024","2,497.95","2,515.00","2,545.00","2,500.00","2,520.95","2,520.55","2,521.41","4,53,837","1,14,43,10,644.30","48,661","2,68,356","59.13"
"BSE","EQ","26-Jun-2024","2,520.55","2,532.00","2,556.05","2,501.00","2,544.00","2,541.10","2,526.29","5,38,178","1,35,95,92,403.00","49,330","3,30,902","61.49"
"BSE","EQ","27-Jun-2024","2,541.10","2,550.00","2,565.00","2,525.00","2,550.00","2,553.80","2,546.44","5,83,469","1,48,57,70,056.70","57,049","4,03,654","69.18"
"BSE","EQ","28-Jun-2024","2,553.80","2,581.00","2,642.70","2,560.05","2,578.80","2,582.55","2,595.66","11,00,517","2,85,65,68,041.35","68,833","4,77,822","43.42"
"BSE","EQ","01-Jul-2024","2,582.55","2,600.00","2,619.75","2,570.05","2,575.20","2,574.10","2,591.59","5,83,442","1,51,20,40,337.05","67,726","3,63,689","62.34"
"BSE","EQ","02-Jul-2024","2,574.10","2,560.00","2,560.00","2,483.00","2,490.00","2,487.10","2,503.90","10,79,501","2,70,29,64,079.80","1,09,137","7,11,084","65.87"
"BSE","EQ","03-Jul-2024","2,487.10","2,495.00","2,509.50","2,447.00","2,464.80","2,457.75","2,467.76","7,28,280","1,79,72,21,770.40","75,435","5,13,561","70.52"
"BSE","EQ","04-Jul-2024","2,457.75","2,458.00","2,499.00","2,454.00","2,463.00","2,457.35","2,474.56","5,38,942","1,33,36,45,514.65","49,973","3,33,880","61.95"
"BSE","EQ","05-Jul-2024","2,457.35","2,468.00","2,468.60","2,395.00","2,415.00","2,405.35","2,414.74","8,36,004","2,01,87,35,646.90","73,795","6,12,378","73.25"
