"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"IBULHSGFIN","EQ","24-Jun-2024","177.55","176.20","177.53","173.77","174.60","174.68","175.73","50,31,977","88,42,81,305.62","34,396","18,75,117","37.26"
"IBULHSGFIN","EQ","25-Jun-2024","174.68","175.60","175.72","172.32","173.50","173.61","173.91","57,69,065","1,00,33,18,653.27","36,578","19,59,626","33.97"
"IBULHSGFIN","EQ","26-Jun-2024","173.61","173.90","178.20","169.90","170.05","170.29","173.13","68,76,691","1,19,05,56,429.86","42,977","31,01,701","45.10"
"IBULHSGFIN","EQ","27-Jun-2024","170.29","170.70","172.00","165.45","166.40","166.36","168.37","59,22,253","99,71,19,418.20","43,454","25,61,733","43.26"
"IBULHSGFIN","EQ","28-Jun-2024","166.36","167.20","169.98","165.75","166.39","166.52","167.26","65,64,736","1,09,80,14,228.04","39,562","30,98,432","47.20"
"IBULHSGFIN","EQ","01-Jul-2024","166.52","167.50","171.50","166.13","169.30","169.42","169.34","56,41,425","95,53,14,934.67","42,689","20,79,364","36.86"
"IBULHSGFIN","EQ","02-Jul-2024","169.42","170.10","170.90","166.80","167.44","167.58","168.59","48,63,232","81,98,91,256.68","35,775","22,38,315","46.03"
"IBULHSGFIN","EQ","03-Jul-2024","167.58","168.75","172.30","167.36","169.84","169.71","170.12","61,45,478","1,04,54,78,175.58","38,234","22,91,845","37.29"
"IBULHSGFIN","EQ","04-Jul-2024","169.71","170.50","174.80","170.05","171.20","171.14","172.45","64,15,202","1,10,63,32,030.04","41,660","23,51,964","36.66"
"IBULHSGFIN","EQ","05-Jul-2024","171.14","170.00","176.50","169.51","170.94","170.72","172.52","91,39,750","1,57,68,07,974.50","49,850","35,04,777","38.35"
"IBULHSGFIN","EQ","08-Jul-2024","170.72","171.65","171.85","167.50","167.95","167.88","169.17","46,98,446","79,48,58,769.50","27,839","21,15,727","45.03"
"IBULHSGFIN","EQ","09-Jul-2024","167.88","168.85","175.18","168.61","170.99","170.99","172.63","1,01,75,591","1,75,65,82,739.13","47,035","31,89,772","31.35"
"IBULHSGFIN","EQ","10-Jul-2024","170.99","171.85","172.14","165.10","167.25","167.47","168.00","63,93,238","1,07,40,39,111.36","33,857","23,75,808","37.16"
"IBULHSGFIN","EQ","11-Jul-2024","167.47","168.50","171.90","168.43","169.11","168.91","170.07","42,39,165","72,09,73,367.30","27,740","15,63,290","36.88"
"IBULHSGFIN","EQ","12-Jul-2024","168.91","169.85","170.25","167.47","168.05","168.00","168.67","40,85,271","68,90,70,231.99","26,694","16,88,364","41.33"
"IBULHSGFIN","EQ","15-Jul-2024","168.00","169.50","169.50","166.40","167.03","166.94","167.53","43,68,249","73,18,24,509.45","26,380","22,77,573","52.14"
"IBULHSGFIN","EQ","16-Jul-2024","166.94","166.94","172.36","166.61","169.15","167.93","168.61","1,54,56,183","2,60,60,49,745.48","55,039","86,05,037","55.67"
"IBULHSGFIN","EQ","18-Jul-2024","167.93","168.54","174.25","168.50","169.20","169.33","171.03","1,53,40,092","2,62,36,09,316.65","57,962","62,76,792","40.92"
"IBULHSGFIN","EQ","19-Jul-2024","169.33","170.00","170.88","164.67","167.00","165.31","167.36","94,56,787","1,58,26,45,042.68","34,009","48,61,126","51.40"
"IBULHSGFIN","EQ","22-Jul-2024","165.31","165.05","169.34","163.55","167.20","167.29","167.11","36,37,478","60,78,42,784.55","19,931","13,50,690","37.13"
